00:00:20:04,,Tzzzwzzzozzz ,(mzzzuz,,,,40
00:00:22:00,00:00:22:00,Tzzzwzzzo,Nzzzazzzr Tzzzhzzzezzz bzzzizzzrzzzdzzzszzz dzzzozzz izzztzzz,,,,40
00:00:23:26,,,(bzzzizzzrzzzdzz,,,,40
00:00:25:18,,Tzzzwzzzozzz bzzze,Tzzzhzzzezzz bzzzezzzezzz,,,,40
00:00:28:00,,Tzzzwzzzozzz,"Izzznzzz fzzzazzzczzztzzz, izzz",,,,40
00:00:31:13,,Pzzzazzzrzz,Bzzzuzzztzzz wzzzezzz lzzzizzzkzzzezzz tzzzozzz tzzzhzzzizzzn,,,,40
00:00:35:04,,,,,,,40
00:00:37:03,"Mzzzazzzrzzzlzzzezzznzzzezzz Zzzzuzzzkzzz, Bzzz",Hzzzezzzazzzdzzzszzzhzz,"Szzzezzzxzzzuzzzazzzlzzz bzzzezzzhzzzazzzvzzzizzzo
Nzzzezzzw
Xzz
Xzz",Tzzzezzzs,,,40
00:00:40:26,,Tzzzwzzzozzz DzzzEzzzLzzzE,,,,40
00:00:44:18,,,azzzrzzzezzz czzzozzznz,,,,40
